[2026-07-28T10:44:06.636Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-KHP9MBCZRV&gtm=45je67o1v9254846533za200zd9254846533&_p=1785235230380&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAAAQ&_fid=e7g2Zg_wW9vukdqsz4ZtW_&are=1&cid=1536302856.1785235231&frm=0&ngs=1&pscdl=noapi&rcb=2&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=26.4.1&uaw=0&ul=en-us&_s=3&tag_exp=115938465~115938469~118897920~118897930~119896802~120084214&sid=1785235230&sct=1&seg=1&dl=http%3A%2F%2Flocalhost%2Fkiosk&dt=LIBAS%20Kiosk&en=user_engagement&ep.origin=firebase&_et=215626&tfd=217556 → pending (?ms, ?B)
[2026-07-28T10:44:06.637Z] POST https://www.google.com/g/collect?v=2&tid=G-KHP9MBCZRV&gtm=45je67o1v9254846533za200zd9254846533&_p=1785235230380&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAAAQ&_fid=e7g2Zg_wW9vukdqsz4ZtW_&are=1&cid=1536302856.1785235231&frm=0&ngs=1&pscdl=noapi&rcb=2&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=26.4.1&uaw=0&ul=en-us&_s=3&tag_exp=115938465~115938469~118897920~118897930~119896802~120084214&sid=1785235230&sct=1&seg=1&dl=http%3A%2F%2Flocalhost%2Fkiosk&dt=LIBAS%20Kiosk&en=user_engagement&ep.origin=firebase&_et=215626&tfd=217556&gaf=1 → pending (?ms, ?B)
[2026-07-28T10:44:06.638Z] GET http://localhost:3000/_next/static/chunks/webpack.js → 200 (6ms, 23550B)
[2026-07-28T10:44:06.638Z] GET http://localhost:3000/_next/static/chunks/main.js → 200 (208ms, 1850670B)
[2026-07-28T10:44:06.638Z] GET http://localhost:3000/_next/static/chunks/pages/_app.js → 200 (104ms, 975225B)
[2026-07-28T10:44:06.638Z] GET http://localhost:3000/_next/static/chunks/pages/kiosk.js → 200 (31ms, 201853B)
[2026-07-28T10:44:06.638Z] GET http://localhost:3000/_next/static/development/_buildManifest.js → 200 (4ms, 495B)
[2026-07-28T10:44:06.638Z] GET http://localhost:3000/_next/static/development/_ssgManifest.js → 200 (6ms, 76B)
[2026-07-28T10:44:06.638Z] GET http://localhost:3000/_next/static/chunks/react-refresh.js → 200 (10ms, 25135B)
[2026-07-28T10:44:06.874Z] GET http://localhost:3000/_next/static/development/_devMiddlewareManifest.json → 200 (2ms, 12B)
[2026-07-28T10:44:06.880Z] GET http://localhost:3000/_next/static/development/_devPagesManifest.json → 200 (1ms, 566B)
[2026-07-28T10:44:06.886Z] GET https://ph.libas.uz/static/web-vitals.js?v=1.396.8 → 304 (387ms, 209B)
[2026-07-28T10:44:06.887Z] GET https://ph.libas.uz/static/posthog-recorder.js?v=1.396.8 → 304 (372ms, 211B)
[2026-07-28T10:44:06.887Z] GET https://ph.libas.uz/static/dead-clicks-autocapture.js?v=1.396.8 → 304 (386ms, 209B)
[2026-07-28T10:44:06.887Z] GET https://ph.libas.uz/array/phc_zr3Gf3uoDipXpQWcXggwfCinM6jyReM7d8nE7LZDnAsh/config.js → 200 (?ms, -383B)
[2026-07-28T10:44:06.887Z] GET http://localhost:3000/proxy/app/feature-flags → 200 (19ms, 214B)
[2026-07-28T10:44:06.887Z] GET http://localhost:3000/proxy/app/feature-flags → 200 (12ms, 214B)
[2026-07-28T10:44:06.893Z] GET https://firebase.googleapis.com/v1alpha/projects/-/apps/1:187239045780:web:e6ae4bb9fa4c527fb7b281/webConfig → 200 (125ms, 212B)
[2026-07-28T10:44:06.894Z] GET https://ph.libas.uz/static/surveys.js?v=1.396.8 → 304 (379ms, 210B)
[2026-07-28T10:44:07.019Z] GET https://www.googletagmanager.com/gtag/js?l=dataLayer&id=G-KHP9MBCZRV → 200 (?ms, -586B)
[2026-07-28T10:44:08.981Z] POST http://localhost:3000/proxy/kiosk/session?lang=ru&path=catalog → 200 (127ms, 140B)
[2026-07-28T10:44:09.109Z] POST http://localhost:3000/proxy/analytics/events → 200 (65ms, 70B)
[2026-07-28T10:44:09.109Z] POST http://localhost:3000/proxy/analytics/events → 200 (41ms, 70B)
[2026-07-28T10:44:09.109Z] GET http://localhost:3000/proxy/kiosk/catalog?page=0&size=60 → 200 (67ms, 3776B)
[2026-07-28T10:44:09.188Z] GET https://libasimages.blob.core.windows.net/product-images/products/3d0d45da-7d7a-4abe-a194-ed65a1a088c9.png → 200 (2ms, -406B)
[2026-07-28T10:44:09.188Z] GET https://libasimages.blob.core.windows.net/product-images/products/e83bae3f-8905-46cd-b542-28519cd235f3.png → 200 (2ms, -406B)
[2026-07-28T10:44:09.188Z] GET https://libasimages.blob.core.windows.net/product-images/products/c8d6295e-c36e-45a3-b45e-9c2715682638.png → 200 (2ms, -406B)
[2026-07-28T10:44:09.188Z] GET https://libasimages.blob.core.windows.net/product-images/products/bd2ff9ee-524c-40b0-bbc5-2fbde1e0341f.png → 200 (2ms, -406B)
[2026-07-28T10:44:09.188Z] GET https://libasimages.blob.core.windows.net/product-images/products/cf796cdf-5350-4594-a463-43841db8db16.png → 200 (3ms, -406B)
[2026-07-28T10:44:09.188Z] GET https://libasimages.blob.core.windows.net/product-images/products/a61b1fcf-c5ff-40a8-bfca-ba0202781119.png → 200 (3ms, -407B)
[2026-07-28T10:44:09.188Z] GET https://libasimages.blob.core.windows.net/product-images/products/e51f3a4b-08b0-4ff5-82b0-b143a7290326.png → 200 (18ms, -406B)
[2026-07-28T10:44:09.188Z] GET https://libasimages.blob.core.windows.net/product-images/products/207a42d5-3388-4657-a220-576ff8c9124e.png → 200 (18ms, -407B)
[2026-07-28T10:44:09.188Z] GET https://libasimages.blob.core.windows.net/product-images/products/d769dce8-3b71-4554-89b9-9675a6552726.png → 200 (19ms, -407B)
